,rating,name,link,area_genre,price(dinner),price(lunch),holiday
134,3.66,グーテ・ド・ママン,https://tabelog.com/tw/tokyo/A1314/A131402/13007218/,"白金高輪車站 / 蛋糕, 咖啡館",-,"JPY 1,000 - JPY 1,999","星期一, 星期日"
135,3.66,ボン クール,https://tabelog.com/tw/tokyo/A1310/A131002/13009032/,"新日本橋車站 / 麵包, 咖啡店, 蛋糕",-,- JPY 999,"星期日, 節假日"
136,3.66,マ・プリエール,https://tabelog.com/tw/tokyo/A1320/A132002/13030751/,"三鷹車站 / 蛋糕, 巧克力",- JPY 999,-,-
137,3.66,山本道子の店,https://tabelog.com/tw/tokyo/A1308/A130803/13006397/,"半藏門車站 / 西式甜點, 蛋糕",-,-,"星期日, 節假日"
138,3.66,ペストリー ブティック,https://tabelog.com/tw/tokyo/A1304/A130401/13004200/,"初台車站 / 蛋糕, 麵包, 三明治","JPY 2,000 - JPY 2,999",-,-
139,3.65,BELTZ,https://tabelog.com/tw/tokyo/A1303/A130302/13225735/,"惠比壽車站 / 蛋糕, 甜食",-,"JPY 1,000 - JPY 1,999",星期三
140,3.65,田村町 木村屋 本店,https://tabelog.com/tw/tokyo/A1301/A130103/13060103/,"內幸町車站 / 蛋糕, 咖啡店, 麵包",- JPY 999,- JPY 999,"星期六, 星期日, 節假日"
141,3.65,ラ・ローズ・ジャポネ,https://tabelog.com/tw/tokyo/A1324/A132403/13218730/,"龜有車站 / 蛋糕, 咖啡店, 西式甜點",- JPY 999,- JPY 999,"星期二, 星期三"
142,3.65,Equal,https://tabelog.com/tw/tokyo/A1318/A131807/13239174/,幡谷車站 / 蛋糕,-,"JPY 1,000 - JPY 1,999","星期一, 星期二, 星期三"
143,3.65,自由が丘ロール屋,https://tabelog.com/tw/tokyo/A1317/A131703/13003287/,自由丘車站 / 蛋糕,"JPY 1,000 - JPY 1,999",-,"星期二, 星期三"
144,3.65,Tea＆Cake Grace,https://tabelog.com/tw/tokyo/A1319/A131907/13006640/,"西荻窪車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期日"
145,3.65,ペストリーショップ,https://tabelog.com/tw/tokyo/A1308/A130802/13169030/,"虎之門Hills車站 / 蛋糕, 麵包, 咖啡店",- JPY 999,"JPY 3,000 - JPY 3,999",-
146,3.65,粉と卵,https://tabelog.com/tw/tokyo/A1317/A131711/13008202/,"奧澤車站 / 蛋糕, 巧克力, 西式甜點",- JPY 999,-,星期一
147,3.65,パティスリー ラ ヴィ ドゥース,https://tabelog.com/tw/tokyo/A1309/A130903/13004306/,"曙橋車站 / 蛋糕, 咖啡店",- JPY 999,"JPY 1,000 - JPY 1,999",星期一
148,3.65,エクラデジュール 東陽町本店,https://tabelog.com/tw/tokyo/A1313/A131303/13173344/,"東陽町車站 / 蛋糕, 麵包",- JPY 999,- JPY 999,"星期一, 星期二, 星期三"
149,3.65,ラ・パティスリー by アマン東京,https://tabelog.com/tw/tokyo/A1302/A130201/13262844/,"大手町車站 / 蛋糕, 西式甜點, 麵包",- JPY 999,- JPY 999,星期日
150,3.65,ル ガリュウＭ,https://tabelog.com/tw/tokyo/A1315/A131502/13049633/,"大森車站 / 蛋糕, 麵包, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期二, 星期三"
151,3.65,トシ・ヨロイヅカ アトリエ,https://tabelog.com/tw/tokyo/A1318/A131809/13096728/,"八幡山車站 / 蛋糕, 西式甜點, 巧克力",- JPY 999,- JPY 999,星期二
152,3.65,ルスルス 浅草店,https://tabelog.com/tw/tokyo/A1311/A131102/13144404/,"淺草車站 / 西式甜點, 咖啡店, 蛋糕",-,"JPY 1,000 - JPY 1,999","星期一, 星期日"
153,3.65,MONICA,https://tabelog.com/tw/tokyo/A1303/A130301/13274523/,"表參道車站 / 麵包, 西式甜點, 蛋糕",-,- JPY 999,-
154,3.65,ラデュレ  日本橋店,https://tabelog.com/tw/tokyo/A1302/A130202/13056234/,"三越前車站 / 馬卡龍, 蛋糕",- JPY 999,-,-
155,3.65,ル・グッテ,https://tabelog.com/tw/tokyo/A1311/A131103/13094048/,淺草橋車站 / 蛋糕,-,-,"星期一, 星期二, 星期三, 星期六, 星期日"
156,3.65,ルエールサンク,https://tabelog.com/tw/tokyo/A1302/A130202/13140161/,"寶町車站 / 蛋糕, 麵包, 馬卡龍",- JPY 999,-,"星期一, 星期六, 星期日, 節假日"
157,3.65,ルラシオン,https://tabelog.com/tw/tokyo/A1318/A131809/13152985/,蘆花公園車站 / 蛋糕,- JPY 999,-,"星期一, 星期二"
158,3.65,コティ,https://tabelog.com/tw/tokyo/A1320/A132002/13078859/,三鷹車站 / 蛋糕,- JPY 999,-,"星期一, 星期四"
159,3.65,Patisserie Boulangerie Les Alternatives,https://tabelog.com/tw/tokyo/A1325/A132501/13268302/,"東小金井車站 / 蛋糕, 麵包",-,- JPY 999,"星期一, 星期二"
160,3.64,パティスリー・サダハル・アオキ・パリ 丸の内店,https://tabelog.com/tw/tokyo/A1301/A130102/13018800/,"有樂町車站 / 蛋糕, 馬卡龍","JPY 2,000 - JPY 2,999",-,-
161,3.64,レモンパイ,https://tabelog.com/tw/tokyo/A1311/A131102/13008621/,田原町車站 / 蛋糕,"JPY 1,000 - JPY 1,999",-,"星期一, 星期日"
162,3.64,えだおね,https://tabelog.com/tw/tokyo/A1319/A131906/13161794/,"荻窪車站 / 麵包, 蛋糕, 咖啡店",- JPY 999,- JPY 999,"星期二, 星期三"
163,3.64,ル ショコラ ドゥ アッシュ 銀座本店,https://tabelog.com/tw/tokyo/A1301/A130101/13182140/,"銀座車站 / 巧克力, 馬卡龍, 蛋糕","JPY 2,000 - JPY 2,999",-,-
164,3.64,UN GRAIN,https://tabelog.com/tw/tokyo/A1306/A130602/13189012/,"表參道車站 / 西式甜點, 蛋糕, 咖啡店",-,"JPY 3,000 - JPY 3,999",星期三
165,3.64,パティスリー アンカド,https://tabelog.com/tw/tokyo/A1327/A132701/13231679/,"町田車站 / 蛋糕, 西式甜點, 咖啡店",- JPY 999,- JPY 999,星期二
